objectid,archiveid,filename,filename_real,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll050,W.2005.1.50,test.jpg,W.2005.1.50.jpg,Willa Cather in Europe: Her Own Story of the First Journey,"Willa Cather, George N. Kates", ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1956,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.50,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll051,W.2005.1.51,test.jpg,W.2005.1.51.jpg,Not Under Forty,Willa Cather, ,Borzoi Books-Knopf,"New York, NY",40.172776,-74.005974,1970,Non-fiction,"""R/L"" inside front jacket; ""77, 78, 79, 80"" written on last page. Note: 

Papers were found in between pages 16 and 17, 18 and 19, and 86 and 87.  ",Mississippi Department of Archives and History,W.2005. 1.51,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll052,W.2005.1.52,test.jpg,W.2005.1.52.jpg,The Source of Light,Reynolds Price, ,Scribner Paperback Fiction,"New York, NY",40.712776,-74.005974,1995,Fiction,For Eudora/ With love for her/ life and works/ Love Reynolds/ 8 April 1983 Note: ,Mississippi Department of Archives and History,W.2005.1.52,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll053,W.2005.1.53,test.jpg,W.2005.1.53.jpg,Vital Provisions,Reynolds Price, , Atheneum Books,"New York, NY",40.712776,-74.005974,1982,Poetry,For Eudora/ with long years of/ happy memory and/ many more of hope/ and the best love from/ Reynolds Price/ 29 Oct 82 Note: ,Mississippi Department of Archives and History,W2005.1.53,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll054,W.2005.1.54,test.jpg,W.2005.1.54.jpg,A Palpable God,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1978,Religous,"For Eudora, in the memory/ of many happy days and many/ blessings, with the best love/ from Reynolds/ 17-?-78 Note: ",Mississippi Department of Archives and History,W.2005.1.54,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll055,W.2005.1.55,test.jpg,W.2005.1.55.jpg,A Generous Man,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1966,Fiction,"Eudora- In recollection of loyalty and much laughter with thanks for a flawless example and with best love, strongest hope/ from/ Reynolds/ 12 February 1966 Note: ",Mississippi Department of Archives and History,W.2005.1.55,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll056,W.2005.1.56,test.jpg,W.2005.1.56.jpg,The Good News According to Mark,Reynolds Price, ,,,,,1976,Religous,for Eudora/ with love as (word illegible)/ 2 all the warm good hopes at Christmas/ from/ Reynolds/ 1976 Note: ,Mississippi Department of Archives and History,W.2005.1.56,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll057,W.2005.1.57,test.jpg,W.2005.1.57.jpg,Things Themselves,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1972,Non-fiction,"To Eudora - Who has provided morals? In every good send, for more than one of these pieces - and for much more than these.  WIth best love and thanks/ from Reynolds Price/ 29 April 1972 Note: ",Mississippi Department of Archives and History,W.2005.1.57,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll058,W.2005.1.58,test.jpg,W.2005.1.58.jpg,Love and Work,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1968,Fiction,"Inscription on the title page reads: Eudora/ The happiest memories,/ best thanks,/ best hopes,/ love Reynolds/ 4 April 68 Note: ",Mississippi Department of Archives and History,W..2005.1.58,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll059,W.2005.1.59,test.jpg,W.2005.1.59.jpg,Bright Center of Heaven,William Maxwell, ,Harper & Bros.,"New York, NY",40.712776,-74.005974,1934,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.59,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll060,W.2005.1.60,test.jpg,W.2005.1.60.jpg,A Long and Happy Life,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.60,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll061,W.2005.1.61,test.jpg,W.2005.1.61.jpg,Over by the River,William Maxwell, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1977,Fiction,For- to put it quite simply - as/ my aunts used to do - for my Eudora/ Bill/ October 1977 Note: ,Mississippi Department of Archives and History,W.2005.1.61,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll062,W.2005.1.62,test.jpg,W.2005.1.62.jpg,Time Will Darken It,William Maxwell, ,Harper & Bros.,"New York, NY",40.712776,-74.005974,1992,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.62,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll063,W.2005.1.63,test.jpg,W.2005.1.63.jpg,The Chateau,William Maxwell, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1961,Fiction,"""March 1961 / Eudora from Bill, / devotedly."" Note: ",Mississippi Department of Archives and History,W.2005.1.63,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll064,W.2005.1.64,test.jpg,W.2005.1.64.jpg,The Surface of Earth,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1975,Fiction,"""for Eudora / with love & hope / from Reynolds / 2 June 75"" Note: ",Mississippi Department of Archives and History,W.2005.1.64,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll065,W.2005.1.65,test.jpg,W.2005.1.65.jpg,The Thanatos Syndrome,Walker Percy, ,,,,,1995,Fiction,"""for Eudora - / from a old friend / Walker"" Note: Signed",Mississippi Department of Archives and History,W. 2005.1.65,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll066,W.2005.1.66,test.jpg,W.2005.1.66.jpg,Early Dark,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.66,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll067,W.2005.1.67,test.jpg,W.2005.1.67.jpg,The Names and Faces of Heroes,Reynolds Price, ,Ballantine Books,"New York, NY",40.712776,-74.005974,1963,Fiction,"Eudora, who saw most of those(?) at the start, with love and loving thanks from Reynolds. - Durham 25 May 63 Note: ",Mississippi Department of Archives and History,W.2005.1.67,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll068,W.2005.1.68,test.jpg,W.2005.1.68.jpg,Oracles: Six Versions from the Bible,"Reynolds Price, Jacob Roquet", ,Friends of Duke University Library,"Durham, NC",35.995929,-78.899109,1977,,"For Eudora as we go to Oxford with the best love from Reynolds - xi-77

 Note: ""Edition of 300 copies each signed and numbered ... no. 258.""",Mississippi Department of Archives and History,W.2005.1.68,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll069,W.2005.1.69,test.jpg,W.2005.1.69.jpg,Nine Mysteries,Reynolds Price, ,Palaemon Press,"Winston-Salem, NC",36.116161,-80.184853,1979,Poetry,"""for Eudora, as though it were Christmas 1975, with as much love as ever.  from Reynolds"" Note: ""This first edition ... is limited to 309 signed copies. Nine specially bound copies, each with a drawing by the author, are lettered A-I. Christmas 1979""",Mississippi Department of Archives and History,W.2005.1.69,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll070,W.2005.1.70,test.jpg,W.2005.1.70.jpg,Mustian,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1983,Fiction,"""for Eudora with long years of good memory, thanks, and love from Reynolds 4-83"" Note: Unmailed postcard inside. Marx Brothers postcard to Eudora on her birthday. Durham, 6 Apr. 83 from Reynolds Price.",Mississippi Department of Archives and History,W.2005.1.70,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll071,W.2005.1.71,test.jpg,W.2005.1.71.jpg,Permanent Errors,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1970,Fiction,"""Thankfully and with love from Reynolds"" Orange County 21 August 1970 Note: Contained Christmas card to Eudora Welty from Reynolds Price sent through mail. Card is from 1972, Fourth Eclogue of Vergil translated by Reynolds Price for his friends.",Mississippi Department of Archives and History,W.2005.1.71,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll072,W.2005.1.72,test.jpg,W.2005.1.72.jpg,The Never-Ending Wrong,Katherine Anne Porter, ,Atlantic-Little Brown,"Boston, MA",42.360256,-71.057281,1977,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005 1.72,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll073,W.2005.1.73,test.jpg,W.2005.1.73.jpg,The Poison Tree,Walter Clemons, ,Houghton Mifflin,"Boston, MA",42.360256,-71.057281,1959,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.73,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll074,W.2005.1.74,test.jpg,W.2005.1.74.jpg,Searching for Caleb,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1996,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.74,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll075,W.2005.1.75,test.jpg,W.2005.1.75.jpg,A Piece of My Heart,Richard Ford, ,Harper & Row,"New York, NY",40.712776,-74.005974,1985,Fiction,"or Eudora Welty/ with affection &/ with my lifetime/ admiration and gratitude/ to you for your work/ Richard

 Note: ",Mississippi Department of Archives and History,W.2005.1.75,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll076,W.2005.1.76,test.jpg,W.2005.1.76.jpg,The Days Before,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1952,Non-fiction,"Dear Eudora, this is/ for  remembrance? house?/ and any same affection/ Katherine Anne/ 28 September 1952/ New York Note: ",Mississippi Department of Archives and History,W.2005.1.76,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll077,W.2005.1.77,test.jpg,W.2005.1.77.jpg,The Salt Line,Elizabeth Spencer, ,DoubleDay,"Garden City, New York",40.728657,-73.631744,1995,Fiction," Note: Card from Lemuria Bookstore, in between pages 208 & 209",Mississippi Department of Archives and History,W.2005.1.77,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll078,W.2005.1.78,test.jpg,W.2005.1.78.jpg,The Sportswriter,Richard Ford, ,Vintage Books,"New York, NY",40.712776,-74.005974,1986,Fiction," For Reynolds Price, with old admiration for your work. Richard Ford  March 22, 1986

 Note: ",Mississippi Department of Archives and History,W.2005.1.78,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll079,W.2005.1.79,test.jpg,W.2005.1.79.jpg,Ship Island and Other Stories,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1969,Fiction," Book is dedicated to Eudora Welty. 

Inscription on dedication page: -a great writer - and/ friend, besides/ with love,/ Elizabeth/ 4 Oct. 1968/ Montreal Note: ",Mississippi Department of Archives and History,W.2005.1.79,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll080,W.2005.1.80,test.jpg,W.2005.1.80.jpg,Everything that Rises Must Converge,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1965,Fiction,"""Welty"" on inside front cover. Note: ",Mississippi Department of Archives and History,W.2005.1.80,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll081,W.2005.1.81,test.jpg,W.2005.1.81.jpg,Celestial Navigation,Anne Tyler, ,J. Curley,"South Yarmouth, MA",41.66676,-70.1851,1981,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.81,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll082,W.2005.1.82,test.jpg,W.2005.1.82.jpg,Knights and Dragons,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1965,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.82,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll083,W.2005.1.83,test.jpg,W.2005.1.83.jpg,Lost in the Cosmos,Walker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,2000,Non-fiction,"Inscription on title page: ""Walker Percy"" Note: ",Mississippi Department of Archives and History,W.2005.1.83,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll084,W.2005.1.84,test.jpg,W.2005.1.84.jpg,Lancelot,Waker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.84,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll085,W.2005.1.85,test.jpg,W.2005.1.85.jpg,No Place for an Angel,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1967,Fiction,"""For Eudora With devotion and love for books and her.  Elizabeth  Jackson 19 Sept. 1967""  Inscription on title page is ""Eudora Welty"" Note: ",Mississippi Department of Archives and History,W.2005.1.85,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll086,W.2005.1.86,test.jpg,W.2005.1.86.jpg,Mystery and Manners,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1974,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.86,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll087,W.2005.1.87,test.jpg,W.2005.1.87.jpg,The Leaning Tower and Other Stories,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1963,Fiction,"Eudora!/ Katherine Anne,/ The same-/ September 18, 1944 Note: ",Mississippi Department of Archives and History,W.2005.1.87,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll088,W.2005.1.88,test.jpg,W.2005.1.88.jpg,Flowering Judas and Other Stories,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1940,Fiction,"""To Eudora/ from Katherine Anne/ at Saratoga Springs/ August 29 1940/ with love and many/ good hopes for her/ life"" Note: ",Mississippi Department of Archives and History,W.2005.1.88,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll089,W.2005.1.89,test.jpg,W.2005.1.89.jpg,"Pale Horse, Pale Rider ",Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1939,Fiction,"

""Eudora Welty"" on front fly page. Note: ",Mississippi Department of Archives and History,W.2005.1.89,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll090,W.2005.1.90,test.jpg,W.2005.1.90.jpg,Ship of Fools,Katherine Anne Porter, ,"Atlantic-Little, Brown","Boston, MA",42.360256,-71.057281,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.90,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll091,W.2005.1.91,test.jpg,W.2005.1.91.jpg,Everything that Rises Must Converge,Flannery O'Connor, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1976,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.91,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll092,W.2005.1.92,test.jpg,W.2005.1.92.jpg,This Crooked Way,Elizabeth Spencer, ,"Dodd, Mead, & Co","New York, NY",40.712776,-74.005974,1952,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.92,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll093,W.2005.1.93,test.jpg,W.2005.1.93.jpg,A Slipping-Down Life,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.93,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll094,W.2005.1.94,test.jpg,W.2005.1.94.jpg,The Second Coming,Walker Percy, ,"Farrar, Strarus,and Giroux","New York, NY",40.712776,-74.005974,1980,Fiction,"Inscribed on title page ""Walker Percy."" Note: ""Privately printed exclusively for members of the First Edition Society.""",Mississippi Department of Archives and History,W.2005.1.94,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll095,W.2005.1.95,test.jpg,W.2005.1.95.jpg,Earthly Possesions,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.95,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll096,W.2005.1.96,test.jpg,W.2005.1.96.jpg,Morgan's Passing,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1981,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.96,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll097,W.2005.1.97,test.jpg,W.2005.1.97.jpg,The Accidental Tourist,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction,"


Inscription on front fly pages reads ""Eudora Welty  September 1985"" Note: ",Mississippi Department of Archives and History,W.2005.1.97,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll098,W.2005.1.98,test.jpg,W.2005.1.98.jpg,The Accidental Tourist,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1985,Fiction, Note: ,Mississippi Department of Archives and History,W..2005.1.98,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/